#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L025.ngb-sdg                 L025.ngb-sdg                 L025.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L025 BW                      L025 BW                      L025 BW                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.07.2020 10:07             13.07.2020 10:07             13.07.2020 10:07            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#SENSITIVITY:                 17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    SSCH                         SSCH                         SSCH                        
#REMARK:                                                                                                            
#SAMPLE:                      L025 BW                      L025 BW                      L025 BW                     
#SAMPLE MASS /mg:             37.08                        37.08                        37.08                       
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/10.0(K/min)/300°C       300°C/10.0(K/min)/-50°C      -50°C/10.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/10.0(K/min)/300°C     
#SEG. 3:                                                   300°C/10.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/10.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-50.00691;             ;-0.13684;-5.241907e-03
-49.00691;             ;-0.13762;      0.17303
-48.00691;             ;-0.13823;      0.18105
-47.00691;             ;-0.13797;      0.16806
-46.00691;             ;-0.13904;      0.15352
-45.00691;             ;-0.13904;      0.14306
-44.00691;             ;-0.14028;      0.12828
-43.00691;             ;-0.14089;      0.10602
-42.00691;             ;-0.14177;      0.11750
-41.00691;             ;-0.14144;      0.13139
-40.00691;             ;-0.14110;      0.13839
-39.00691;             ;-0.14125;      0.13843
-38.00691;             ;-0.14152;      0.13573
-37.00691;             ;-0.14183;      0.13420
-36.00691;             ;-0.14243;      0.13397
-35.00691;             ;-0.14264;      0.13486
-34.00691;             ;-0.14273;      0.13607
-33.00691;             ;-0.14329;      0.13643
-32.00691;             ;-0.14373;      0.13711
-31.00691;             ;-0.14394;      0.13725
-30.00691;             ;-0.14430;      0.13749
-29.00691;             ;-0.14461;      0.13821
-28.00691;             ;-0.14516;      0.13877
-27.00691;             ;-0.14541;      0.13871
-26.00691;             ;-0.14558;      0.13909
-25.00691;             ;-0.14617;      0.13941
-24.00691;             ;-0.14645;      0.13981
-23.00691;             ;-0.14690;      0.14065
-22.00691;             ;-0.14742;      0.14096
-21.00691;             ;-0.14763;      0.14123
-20.00691;             ;-0.14807;      0.14158
-19.00691;             ;-0.14858;      0.14194
-18.00691;             ;-0.14886;      0.14224
-17.00691;             ;-0.14913;      0.14284
-16.00691;             ;-0.14932;      0.14319
-15.00691;             ;-0.14978;      0.14348
-14.00691;             ;-0.14990;      0.14418
-13.00691;             ;-0.15049;      0.14435
-12.00691;             ;-0.15065;      0.14455
-11.00691;             ;-0.15085;      0.14515
-10.00691;             ;-0.15115;      0.14573
 -9.00691;             ;-0.15147;      0.14593
 -8.00691;             ;-0.15181;      0.14644
 -7.00691;             ;-0.15217;      0.14689
 -6.00691;             ;-0.15235;      0.14726
 -5.00691;             ;-0.15261;      0.14783
 -4.00691;             ;-0.15289;      0.14868
 -3.00691;             ;-0.15315;      0.14931
 -2.00691;             ;-0.15344;      0.15053
 -1.00691;             ;-0.15375;      0.15200
 -0.00691;             ;-0.15408;      0.15063
  0.99309;             ;-0.15445;      0.14928
  1.99309;             ;-0.15454;      0.14926
  2.99309;             ;-0.15470;      0.14950
  3.99309;             ;-0.15469;      0.14979
  4.99309;             ;-0.15505;      0.14980
  5.99309;             ;-0.15544;      0.15058
  6.99309;             ;-0.15568;      0.15073
  7.99309;             ;-0.15567;      0.15092
  8.99309;             ;-0.15602;      0.15109
  9.99309;             ;-0.15632;      0.15136
 10.99309;             ;-0.15650;      0.15164
