#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L026.ngb-sdg                 L026.ngb-sdg                 L026.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L026_BW                      L026_BW                      L026_BW                     
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.07.2020 12:08             13.07.2020 12:08             13.07.2020 12:08            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#SENSITIVITY:                 17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    SSCH                         SSCH                         SSCH                        
#REMARK:                                                                                                            
#SAMPLE:                      L026_BW                      L026_BW                      L026_BW                     
#SAMPLE MASS /mg:             37.24                        37.24                        37.24                       
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/10.0(K/min)/300°C       300°C/10.0(K/min)/-50°C      -50°C/10.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/10.0(K/min)/300°C     
#SEG. 3:                                                   300°C/10.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/10.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-50.00174;             ;-0.13713;-5.473026e-03
-49.00174;             ;-0.13813;      0.17303
-48.00174;             ;-0.13891;      0.18151
-47.00174;             ;-0.13894;      0.16836
-46.00174;             ;-0.13965;      0.15352
-45.00174;             ;-0.14026;      0.14281
-44.00174;             ;-0.14070;      0.12779
-43.00174;             ;-0.14141;      0.10544
-42.00174;             ;-0.14203;      0.11686
-41.00174;             ;-0.14250;      0.13040
-40.00174;             ;-0.14220;      0.13768
-39.00174;             ;-0.14232;      0.13782
-38.00174;             ;-0.14282;      0.13543
-37.00174;             ;-0.14307;      0.13317
-36.00174;             ;-0.14340;      0.13329
-35.00174;             ;-0.14376;      0.13413
-34.00174;             ;-0.14414;      0.13546
-33.00174;             ;-0.14453;      0.13624
-32.00174;             ;-0.14478;      0.13647
-31.00174;             ;-0.14523;      0.13674
-30.00174;             ;-0.14560;      0.13696
-29.00174;             ;-0.14613;      0.13738
-28.00174;             ;-0.14653;      0.13800
-27.00174;             ;-0.14681;      0.13832
-26.00174;             ;-0.14735;      0.13889
-25.00174;             ;-0.14758;      0.13924
-24.00174;             ;-0.14820;      0.13958
-23.00174;             ;-0.14869;      0.14005
-22.00174;             ;-0.14922;      0.14043
-21.00174;             ;-0.14955;      0.14080
-20.00174;             ;-0.14969;      0.14103
-19.00174;             ;-0.14995;      0.14158
-18.00174;             ;-0.15024;      0.14209
-17.00174;             ;-0.15052;      0.14268
-16.00174;             ;-0.15085;      0.14316
-15.00174;             ;-0.15125;      0.14333
-14.00174;             ;-0.15152;      0.14365
-13.00174;             ;-0.15181;      0.14411
-12.00174;             ;-0.15218;      0.14457
-11.00174;             ;-0.15247;      0.14494
-10.00174;             ;-0.15276;      0.14528
 -9.00174;             ;-0.15314;      0.14575
 -8.00174;             ;-0.15343;      0.14629
 -7.00174;             ;-0.15365;      0.14693
 -6.00174;             ;-0.15395;      0.14752
 -5.00174;             ;-0.15430;      0.14817
 -4.00174;             ;-0.15469;      0.14896
 -3.00174;             ;-0.15498;      0.15030
 -2.00174;             ;-0.15511;      0.15101
 -1.00174;             ;-0.15534;      0.15324
 -0.00174;             ;-0.15554;      0.15034
  0.99826;             ;-0.15587;      0.14898
  1.99826;             ;-0.15616;      0.14916
  2.99826;             ;-0.15642;      0.14919
  3.99826;             ;-0.15662;      0.14914
  4.99826;             ;-0.15672;      0.14952
  5.99826;             ;-0.15690;      0.14992
  6.99826;             ;-0.15723;      0.14999
  7.99826;             ;-0.15752;      0.15026
  8.99826;             ;-0.15775;      0.15054
  9.99826;             ;-0.15797;      0.15084
 10.99826;             ;-0.15818;      0.15114
