#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L042.ngb-sdg                 L042.ngb-sdg                 L042.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L042                         L042                         L042                        
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   16.07.2020 16:14             16.07.2020 16:14             16.07.2020 16:14            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#SENSITIVITY:                 17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    SSCH                         SSCH                         SSCH                        
#REMARK:                                                                                                            
#SAMPLE:                      L042                         L042                         L042                        
#SAMPLE MASS /mg:             12                           12                           12                          
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       17-06-2020 09:41             17-06-2020 09:41             17-06-2020 09:41            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/10.0(K/min)/300°C       300°C/10.0(K/min)/-50°C      -50°C/10.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/10.0(K/min)/300°C     
#SEG. 3:                                                   300°C/10.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/10.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-50.33104;             ;    -0.15353;-1.651728e-02
-49.33104;             ;    -0.15584;      0.14984
-48.33104;             ;    -0.15508;      0.21287
-47.33104;             ;    -0.15554;      0.21234
-46.33104;             ;    -0.15590;      0.18799
-45.33104;             ;    -0.15628;      0.16204
-44.33104;             ;    -0.15653;      0.13725
-43.33104;             ;    -0.15715;      0.11541
-42.33104;             ;    -0.15732; 7.736243e-02
-41.33104;             ;    -0.15753;      0.10272
-40.33104;             ;    -0.15750;      0.12764
-39.33104;             ;    -0.15727;      0.14000
-38.33104;             ;    -0.15771;      0.13954
-37.33104;             ;    -0.15778;      0.13347
-36.33104;             ;    -0.15808;      0.12791
-35.33104;             ;    -0.15877;      0.12882
-34.33104;             ;    -0.15900;      0.13024
-33.33104;             ;    -0.15950;      0.13213
-32.33104;             ;    -0.15993;      0.13373
-31.33104;             ;    -0.16032;      0.13372
-30.33104;             ;    -0.16073;      0.13406
-29.33104;             ;    -0.16086;      0.13438
-28.33104;             ;    -0.16120;      0.13494
-27.33104;             ;    -0.16174;      0.13503
-26.33104;             ;    -0.16251;      0.13580
-25.33104;             ;    -0.16323;      0.13607
-24.33104;             ;    -0.16396;      0.13590
-23.33104;             ;    -0.16454;      0.13634
-22.33104;             ;    -0.16470;      0.13730
-21.33104;             ;    -0.16481;      0.13809
-20.33104;             ;    -0.16500;      0.13831
-19.33104;             ;    -0.16557;      0.13826
-18.33104;             ;    -0.16555;      0.13899
-17.33104;             ;    -0.16538;      0.13990
-16.33104;             ;    -0.16574;      0.14043
-15.33104;             ;    -0.16633;      0.14079
-14.33104;             ;    -0.16667;      0.14114
-13.33104;             ;    -0.16730;      0.14147
-12.33104;             ;    -0.16727;      0.14175
-11.33104;             ;    -0.16719;      0.14193
-10.33104;             ;    -0.16732;      0.14264
 -9.33104;             ;    -0.16745;      0.14339
 -8.33104;             ;    -0.16790;      0.14406
 -7.33104;             ;    -0.16832;      0.14406
 -6.33104;             ;    -0.16849;      0.14462
 -5.33104;             ;    -0.16873;      0.14552
 -4.33104;             ;    -0.16910;      0.14605
 -3.33104;             ;    -0.16959;      0.14662
 -2.33104;             ;    -0.17049;      0.14694
 -1.33104;             ;    -0.17025;      0.14712
 -0.33104;             ;    -0.16923;      0.14679
  0.66896;             ;    -0.16960;      0.14653
  1.66896;             ;    -0.17062;      0.14630
  2.66896;             ;    -0.17040;      0.14644
  3.66896;             ;    -0.17049;      0.14694
  4.66896;             ;    -0.17087;      0.14716
  5.66896;             ;    -0.17133;      0.14742
  6.66896;             ;    -0.17132;      0.14779
  7.66896;             ;    -0.17116;      0.14801
  8.66896;             ;    -0.17148;      0.14835
  9.66896;             ;    -0.17158;      0.14882
 10.66896;             ;    -0.17167;      0.14891
 11.66896;             ;    -0.17193;      0.14919
 12.66896;             ;    -0.17223;      0.14977
 13.66896;             ;    -0.17232;      0.14998
 14.66896;             ;    -0.17235;      0.15010
 15.66896;             ;    -0.17252;      0.15068
 16.66896;             ;    -0.17284;      0.15110
 17.66896;-7.818187e-03;    -0.17324;      0.15137
 18.66896;-7.818187e-03;    -0.17355;      0.15152
 19.66896;-7.818187e-03;    -0.17368;      0.15159
 20.66896;      0.10918;    -0.17411;      0.15191
 21.66896;      0.18413;    -0.17422;      0.15219
 22.66896;      0.19981;    -0.17422;      0.15256
 23.66896;      0.18130;    -0.17445;      0.15265
 24.66896;      0.15667;    -0.17469;      0.15293
 25.66896;      0.13639;    -0.17469;      0.15338
 26.66896;      0.11320;    -0.17464;      0.15400
 27.66896; 9.530038e-02;    -0.17479;      0.15457
 28.66896;      0.11470;    -0.17463;      0.15533
 29.66896;      0.13404;    -0.17514;      0.15563
 30.66896;      0.14429;    -0.17556;      0.15601
 31.66896;      0.14552;    -0.17580;      0.15658
 32.66896;      0.14350;    -0.17590;      0.15683
 33.66896;      0.13976;    -0.17615;      0.15695
 34.66896;      0.13985;    -0.17646;      0.15737
 35.66896;      0.14190;    -0.17660;      0.15780
 36.66896;      0.14414;    -0.17655;      0.15815
 37.66896;      0.14630;    -0.17708;      0.15830
 38.66896;      0.14746;    -0.17753;      0.15870
 39.66896;      0.14860;    -0.17762;      0.15897
 40.66896;      0.14938;    -0.17759;      0.15940
 41.66896;      0.15023;    -0.17768;      0.15990
 42.66896;      0.15101;    -0.17757;      0.16012
 43.66896;      0.15203;    -0.17789;      0.16020
 44.66896;      0.15306;    -0.17850;      0.16043
 45.66896;      0.15329;    -0.17858;      0.16070
 46.66896;      0.15376;    -0.17882;      0.16111
 47.66896;      0.15463;    -0.17913;      0.16143
 48.66896;      0.15558;    -0.17897;      0.16179
 49.66896;      0.15641;    -0.17892;      0.16205
 50.66896;      0.15668;    -0.17934;      0.16222
 51.66896;      0.15657;    -0.17973;      0.16245
 52.66896;      0.15684;    -0.17991;      0.16273
 53.66896;      0.15699;    -0.17985;      0.16300
 54.66896;      0.15827;    -0.17982;      0.16296
 55.66896;      0.15917;    -0.17977;      0.16337
 56.66896;      0.15923;    -0.18041;      0.16371
 57.66896;      0.15919;    -0.18069;      0.16384
 58.66896;      0.15953;    -0.18086;      0.16402
 59.66896;      0.15964;    -0.18115;      0.16413
 60.66896;      0.15974;    -0.18129;      0.16431
 61.66896;      0.16036;    -0.18150;      0.16461
 62.66896;      0.16036;    -0.18198;      0.16492
 63.66896;      0.16059;    -0.18191;      0.16508
 64.66896;      0.16101;    -0.18214;      0.16527
 65.66896;      0.16107;    -0.18259;      0.16561
 66.66896;      0.16114;    -0.18298;      0.16574
 67.66896;      0.16154;    -0.18332;      0.16588
 68.66896;      0.16274;    -0.18362;      0.16600
 69.66896;      0.16290;    -0.18410;      0.16627
 70.66896;      0.16248;    -0.18424;      0.16663
 71.66896;      0.16253;    -0.18437;      0.16676
 72.66896;      0.16265;    -0.18482;      0.16675
 73.66896;      0.16269;    -0.18520;      0.16701
 74.66896;      0.16255;    -0.18572;      0.16731
 75.66896;      0.16240;    -0.18617;      0.16753
 76.66896;      0.16293;    -0.18637;      0.16775
 77.66896;      0.16400;    -0.18677;      0.16797
 78.66896;      0.16311;    -0.18709;      0.16817
 79.66896;      0.16230;    -0.18728;      0.16831
 80.66896;      0.16368;    -0.18771;      0.16831
 81.66896;      0.16321;    -0.18801;      0.16865
 82.66896;      0.16328;    -0.18803;      0.16904
 83.66896;      0.16313;    -0.18833;      0.16948
 84.66896;      0.16308;    -0.18865;      0.16992
 85.66896;      0.16339;    -0.18912;      0.17009
 86.66896;      0.16366;    -0.18945;      0.16995
