#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L161.ngb-sdg                 L161.ngb-sdg                 L161.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L161                         L161                         L161                        
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   15.09.2020 03:00             15.09.2020 03:00             15.09.2020 03:00            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     31-08-2020 08:41             31-08-2020 08:41             31-08-2020 08:41            
#SENSITIVITY:                 31-08-2020 08:41             31-08-2020 08:41             31-08-2020 08:41            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    SSCH                         SSCH                         SSCH                        
#REMARK:                                                                                                            
#SAMPLE:                      L161                         L161                         L161                        
#SAMPLE MASS /mg:             9.98                         9.98                         9.98                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       31-08-2020 08:41             31-08-2020 08:41             31-08-2020 08:41            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/10.0(K/min)/300°C       300°C/10.0(K/min)/-50°C      -50°C/10.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/10.0(K/min)/300°C     
#SEG. 3:                                                   300°C/10.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/10.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-50.41901;             ;-0.21871;-1.683237e-02
-49.41901;             ;-0.21979;-1.683237e-02
-48.41901;             ;-0.21985;      0.25420
-47.41901;             ;-0.22025;      0.20685
-46.41901;             ;-0.22064;      0.19046
-45.41901;             ;-0.22087;      0.19019
-44.41901;             ;-0.22167;      0.17216
-43.41901;             ;-0.22230;      0.17850
-42.41901;             ;-0.22233;      0.17163
-41.41901;             ;-0.22197;      0.19841
-40.41901;             ;-0.22247;      0.20399
-39.41901;             ;-0.22314;      0.20187
-38.41901;             ;-0.22416;      0.19808
-37.41901;             ;-0.22422;      0.19355
-36.41901;             ;-0.22517;      0.19490
-35.41901;             ;-0.22523;      0.19673
-34.41901;             ;-0.22557;      0.19752
-33.41901;             ;-0.22590;      0.19893
-32.41901;             ;-0.22612;      0.20010
-31.41901;             ;-0.22660;      0.20030
-30.41901;             ;-0.22655;      0.20191
-29.41901;             ;-0.22734;      0.20114
-28.41901;             ;-0.22665;      0.20326
-27.41901;             ;-0.22724;      0.20365
-26.41901;             ;-0.22848;      0.20331
-25.41901;             ;-0.22944;      0.20392
-24.41901;             ;-0.23078;      0.20445
-23.41901;             ;-0.23105;      0.20608
-22.41901;             ;-0.23187;      0.20609
-21.41901;             ;-0.23223;      0.20707
-20.41901;             ;-0.23196;      0.20789
-19.41901;             ;-0.23213;      0.20768
-18.41901;             ;-0.23235;      0.20863
-17.41901;             ;-0.23248;      0.20945
-16.41901;             ;-0.23239;      0.21045
-15.41901;             ;-0.23292;      0.21089
-14.41901;             ;-0.23308;      0.21130
-13.41901;             ;-0.23311;      0.21161
-12.41901;             ;-0.23292;      0.21238
-11.41901;             ;-0.23281;      0.21329
-10.41901;             ;-0.23301;      0.21365
 -9.41901;             ;-0.23299;      0.21456
 -8.41901;             ;-0.23328;      0.21516
 -7.41901;             ;-0.23334;      0.21569
 -6.41901;             ;-0.23347;      0.21665
 -5.41901;             ;-0.23335;      0.21717
 -4.41901;             ;-0.23333;      0.21720
 -3.41901;             ;-0.23370;      0.21809
 -2.41901;             ;-0.23375;      0.21984
 -1.41901;             ;-0.23367;      0.21962
 -0.41901;             ;-0.23373;      0.21966
  0.58099;             ;-0.23383;      0.21973
  1.58099;             ;-0.23368;      0.22045
  2.58099;             ;-0.23373;      0.22081
  3.58099;             ;-0.23381;      0.22128
  4.58099;             ;-0.23360;      0.22178
  5.58099;             ;-0.23343;      0.22210
  6.58099;             ;-0.23326;      0.22248
  7.58099;             ;-0.23311;      0.22311
  8.58099;             ;-0.23296;      0.22320
  9.58099;             ;-0.23281;      0.22381
 10.58099;             ;-0.23250;      0.22437
 11.58099;             ;-0.23224;      0.22454
 12.58099;             ;-0.23206;      0.22493
 13.58099;             ;-0.23193;      0.22522
 14.58099;             ;-0.23170;      0.22580
 15.58099;             ;-0.23153;      0.22629
 16.58099;             ;-0.23130;      0.22661
 17.58099;-6.357985e-03;-0.23116;      0.22692
 18.58099;-6.357985e-03;-0.23082;      0.22720
 19.58099;-6.357985e-03;-0.23093;      0.22762
 20.58099;      0.31672;-0.23114;      0.22815
 21.58099;      0.27436;-0.23106;      0.22827
 22.58099;      0.25134;-0.23088;      0.22811
 23.58099;      0.24264;-0.23078;      0.22852
 24.58099;      0.23974;-0.23102;      0.22929
 25.58099;      0.22699;-0.23128;      0.22975
 26.58099;      0.23310;-0.23126;      0.23023
 27.58099;      0.23062;-0.23136;      0.23051
 28.58099;      0.24749;-0.23156;      0.23054
 29.58099;      0.25316;-0.23176;      0.23086
 30.58099;      0.25293;-0.23169;      0.23117
 31.58099;      0.25200;-0.23165;      0.23138
 32.58099;      0.25158;-0.23163;      0.23164
 33.58099;      0.25352;-0.23177;      0.23192
 34.58099;      0.25574;-0.23149;      0.23223
 35.58099;      0.25930;-0.23182;      0.23252
 36.58099;      0.26060;-0.23206;      0.23300
 37.58099;      0.26319;-0.23216;      0.23336
 38.58099;      0.26502;-0.23226;      0.23374
 39.58099;      0.26728;-0.23228;      0.23402
 40.58099;      0.26921;-0.23228;      0.23429
 41.58099;      0.27058;-0.23225;      0.23463
 42.58099;      0.27225;-0.23247;      0.23490
 43.58099;      0.27518;-0.23256;      0.23511
 44.58099;      0.27754;-0.23242;      0.23541
 45.58099;      0.27861;-0.23213;      0.23566
 46.58099;      0.27983;-0.23215;      0.23576
 47.58099;      0.28153;-0.23210;      0.23588
 48.58099;      0.28324;-0.23243;      0.23602
 49.58099;      0.28461;-0.23259;      0.23636
