#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L168.ngb-sdg                 L168.ngb-sdg                 L168.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L168                         L168                         L168                        
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   15.09.2020 20:30             15.09.2020 20:30             15.09.2020 20:30            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     31-08-2020 08:41             31-08-2020 08:41             31-08-2020 08:41            
#SENSITIVITY:                 31-08-2020 08:41             31-08-2020 08:41             31-08-2020 08:41            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    SSCH                         SSCH                         SSCH                        
#REMARK:                                                                                                            
#SAMPLE:                      L168                         L168                         L168                        
#SAMPLE MASS /mg:             13.20                        13.20                        13.20                       
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       31-08-2020 08:41             31-08-2020 08:41             31-08-2020 08:41            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/10.0(K/min)/300°C       300°C/10.0(K/min)/-50°C      -50°C/10.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/10.0(K/min)/300°C     
#SEG. 3:                                                   300°C/10.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/10.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-50.40030;             ;-0.18416;-8.856646e-03
-49.40030;             ;-0.18605;-8.856646e-03
-48.40030;             ;-0.18563;      0.23563
-47.40030;             ;-0.18576;      0.20680
-46.40030;             ;-0.18585;      0.19150
-45.40030;             ;-0.18616;      0.18532
-44.40030;             ;-0.18667;      0.16784
-43.40030;             ;-0.18698;      0.16632
-42.40030;             ;-0.18740;      0.15474
-41.40030;             ;-0.18891;      0.16690
-40.40030;             ;-0.19102;      0.17538
-39.40030;             ;-0.18853;      0.17700
-38.40030;             ;-0.18890;      0.17777
-37.40030;             ;-0.18997;      0.17568
-36.40030;             ;-0.18980;      0.17586
-35.40030;             ;-0.19061;      0.17650
-34.40030;             ;-0.19108;      0.17642
-33.40030;             ;-0.19148;      0.17769
-32.40030;             ;-0.19210;      0.17906
-31.40030;             ;-0.19224;      0.17929
-30.40030;             ;-0.19241;      0.17994
-29.40030;             ;-0.19276;      0.18043
-28.40030;             ;-0.19370;      0.18087
-27.40030;             ;-0.19428;      0.18172
-26.40030;             ;-0.19485;      0.18230
-25.40030;             ;-0.19526;      0.18283
-24.40030;             ;-0.19622;      0.18296
-23.40030;             ;-0.19649;      0.18362
-22.40030;             ;-0.19734;      0.18424
-21.40030;             ;-0.19839;      0.18476
-20.40030;             ;-0.19900;      0.18547
-19.40030;             ;-0.19897;      0.18562
-18.40030;             ;-0.19894;      0.18634
-17.40030;             ;-0.19925;      0.18674
-16.40030;             ;-0.19942;      0.18712
-15.40030;             ;-0.19988;      0.18797
-14.40030;             ;-0.19983;      0.18822
-13.40030;             ;-0.19977;      0.18860
-12.40030;             ;-0.20000;      0.18903
-11.40030;             ;-0.20039;      0.18939
-10.40030;             ;-0.20064;      0.19005
 -9.40030;             ;-0.20103;      0.19057
 -8.40030;             ;-0.20130;      0.19106
 -7.40030;             ;-0.20164;      0.19179
 -6.40030;             ;-0.20179;      0.19239
 -5.40030;             ;-0.20191;      0.19259
 -4.40030;             ;-0.20188;      0.19308
 -3.40030;             ;-0.20208;      0.19373
 -2.40030;             ;-0.20228;      0.19435
 -1.40030;             ;-0.20265;      0.19492
 -0.40030;             ;-0.20276;      0.19478
  0.59970;             ;-0.20290;      0.19491
  1.59970;             ;-0.20337;      0.19537
  2.59970;             ;-0.20372;      0.19566
  3.59970;             ;-0.20382;      0.19597
  4.59970;             ;-0.20399;      0.19620
  5.59970;             ;-0.20414;      0.19639
  6.59970;             ;-0.20414;      0.19668
  7.59970;             ;-0.20411;      0.19708
  8.59970;             ;-0.20437;      0.19749
  9.59970;             ;-0.20460;      0.19788
