#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L185.ngb-sdg                 L185.ngb-sdg                 L185.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L185                         L185                         L185                        
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   13.10.2020 13:47             13.10.2020 13:47             13.10.2020 13:47            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-10-2020 06:23             13-10-2020 06:23             13-10-2020 06:23            
#SENSITIVITY:                 13-10-2020 06:23             13-10-2020 06:23             13-10-2020 06:23            
#LABORATORY:                  N325                         N325                         N325                        
#OPERATOR:                    Dima                         Dima                         Dima                        
#REMARK:                                                                                                            
#SAMPLE:                      L185                         L185                         L185                        
#SAMPLE MASS /mg:             10.27                        10.27                        10.27                       
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       09-10-2020 09:37             09-10-2020 09:37             09-10-2020 09:37            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/10.0(K/min)/300°C       300°C/10.0(K/min)/-50°C      -50°C/10.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/10.0(K/min)/300°C     
#SEG. 3:                                                   300°C/10.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/10.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-50.04416;            ;-0.18389;-1.326925e-03
-49.04416;            ;-0.20545;      0.25964
-48.04416;            ;-0.20799;      0.22436
-47.04416;            ;-0.20728;      0.20801
-46.04416;            ;-0.20885;      0.20354
-45.04416;            ;-0.20990;      0.19712
-44.04416;            ;-0.21125;      0.18777
-43.04416;            ;-0.21271;      0.17329
-42.04416;            ;-0.21129;      0.19207
-41.04416;            ;-0.21437;      0.20204
-40.04416;            ;-0.21507;      0.20490
-39.04416;            ;-0.21581;      0.20332
-38.04416;            ;-0.21571;      0.20151
-37.04416;            ;-0.21640;      0.20121
-36.04416;            ;-0.21698;      0.20043
-35.04416;            ;-0.21746;      0.20276
-34.04416;            ;-0.21748;      0.20302
-33.04416;            ;-0.21967;      0.20582
-32.04416;            ;-0.20728;      0.20554
-31.04416;            ;-0.21058;      0.20522
-30.04416;            ;-0.21985;      0.20596
-29.04416;            ;-0.22154;      0.20635
-28.04416;            ;-0.21889;      0.20687
-27.04416;            ;-0.21926;      0.20708
-26.04416;            ;-0.22004;      0.20732
-25.04416;            ;-0.22950;      0.20777
-24.04416;            ;-0.22224;      0.20803
-23.04416;            ;-0.22351;      0.20845
-22.04416;            ;-0.22367;      0.20872
-21.04416;            ;-0.22370;      0.20917
-20.04416;            ;-0.22458;      0.20974
-19.04416;            ;-0.22474;      0.21018
-18.04416;            ;-0.22506;      0.21072
-17.04416;            ;-0.22552;      0.21134
-16.04416;            ;-0.22570;      0.21179
-15.04416;            ;-0.22589;      0.21222
-14.04416;            ;-0.22600;      0.21270
-13.04416;            ;-0.22624;      0.21321
-12.04416;            ;-0.22624;      0.21363
-11.04416;            ;-0.22659;      0.21448
-10.04416;            ;-0.22665;      0.21547
 -9.04416;            ;-0.22666;      0.21622
 -8.04416;            ;-0.22673;      0.21666
 -7.04416;            ;-0.22669;      0.21713
 -6.04416;            ;-0.22678;      0.21753
 -5.04416;            ;-0.22685;      0.21803
 -4.04416;            ;-0.22698;      0.21852
 -3.04416;            ;-0.22701;      0.21917
 -2.04416;            ;-0.22692;      0.21953
 -1.04416;            ;-0.22689;      0.22004
 -0.04416;            ;-0.22682;      0.22046
  0.95584;            ;-0.22687;      0.22023
  1.95584;            ;-0.22688;      0.22070
  2.95584;            ;-0.22690;      0.22085
  3.95584;            ;-0.22685;      0.22110
  4.95584;            ;-0.22652;      0.22126
  5.95584;            ;-0.22668;      0.22150
  6.95584;            ;-0.22857;      0.22184
  7.95584;            ;-0.23127;      0.22236
  8.95584;            ;-0.22864;      0.22249
  9.95584;            ;-0.22912;      0.22295
