#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L242.ngb-sdg                 L242.ngb-sdg                 L242.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L242                         L242                         L242                        
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   21.10.2020 06:09             21.10.2020 06:09             21.10.2020 06:09            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-10-2020 06:23             13-10-2020 06:23             13-10-2020 06:23            
#SENSITIVITY:                 13-10-2020 06:23             13-10-2020 06:23             13-10-2020 06:23            
#LABORATORY:                  N325                         N325                         N325                        
#OPERATOR:                    Kurzweg                      Kurzweg                      Kurzweg                     
#REMARK:                                                                                                            
#SAMPLE:                      L242                         L242                         L242                        
#SAMPLE MASS /mg:             20.25                        20.25                        20.25                       
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       09-10-2020 09:37             09-10-2020 09:37             09-10-2020 09:37            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/10.0(K/min)/300°C       300°C/10.0(K/min)/-50°C      -50°C/10.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/10.0(K/min)/300°C     
#SEG. 3:                                                   300°C/10.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/10.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.79239;             ;-0.13087;-9.055367e-06
-48.79239;             ;-0.14072;      0.19629
-47.79239;             ;-0.16049;      0.18010
-46.79239;             ;-0.16207;      0.17087
-45.79239;             ;-0.16250;      0.16654
-44.79239;             ;-0.16324;      0.15645
-43.79239;             ;-0.16395;      0.15559
-42.79239;             ;-0.16572;      0.14770
-41.79239;             ;-0.16701;      0.15772
-40.79239;             ;-0.16761;      0.16212
-39.79239;             ;-0.16837;      0.16334
-38.79239;             ;-0.16867;      0.16285
-37.79239;             ;-0.16863;      0.16229
-36.79239;             ;-0.16924;      0.16254
-35.79239;             ;-0.16967;      0.16254
-34.79239;             ;-0.17009;      0.16376
-33.79239;             ;-0.17061;      0.16475
-32.79239;             ;-0.17110;      0.16536
-31.79239;             ;-0.17153;      0.16587
-30.79239;             ;-0.17190;      0.16675
-29.79239;             ;-0.17214;      0.16726
-28.79239;             ;-0.17238;      0.16789
-27.79239;             ;-0.17295;      0.16810
-26.79239;             ;-0.17358;      0.16893
-25.79239;             ;-0.17368;      0.16937
-24.79239;             ;-0.17447;      0.16998
-23.79239;             ;-0.17507;      0.17033
-22.79239;             ;-0.17545;      0.17103
-21.79239;             ;-0.17638;      0.17162
-20.79239;             ;-0.17659;      0.17231
-19.79239;             ;-0.17743;      0.17254
-18.79239;             ;-0.17735;      0.17323
-17.79239;             ;-0.17804;      0.17362
-16.79239;             ;-0.17836;      0.17414
-15.79239;             ;-0.17871;      0.17463
-14.79239;             ;-0.17921;      0.17510
-13.79239;             ;-0.17947;      0.17592
-12.79239;             ;-0.17999;      0.17626
-11.79239;             ;-0.18025;      0.17695
-10.79239;             ;-0.18049;      0.17745
 -9.79239;             ;-0.18068;      0.17793
 -8.79239;             ;-0.18089;      0.17832
 -7.79239;             ;-0.18119;      0.17890
 -6.79239;             ;-0.18159;      0.17968
 -5.79239;             ;-0.18192;      0.18062
 -4.79239;             ;-0.18212;      0.18094
 -3.79239;             ;-0.18221;      0.18174
 -2.79239;             ;-0.18240;      0.18263
 -1.79239;             ;-0.18288;      0.18346
 -0.79239;             ;-0.18309;      0.18479
  0.20761;             ;-0.18321;      0.18676
  1.20761;             ;-0.18341;      0.18431
  2.20761;             ;-0.18376;      0.18350
  3.20761;             ;-0.18385;      0.18353
  4.20761;             ;-0.18385;      0.18378
  5.20761;             ;-0.18398;      0.18364
  6.20761;             ;-0.18417;      0.18407
  7.20761;             ;-0.18426;      0.18428
  8.20761;             ;-0.18440;      0.18459
  9.20761;             ;-0.18451;      0.18477
 10.20761;             ;-0.18461;      0.18512
 11.20761;             ;-0.18454;      0.18552
 12.20761;             ;-0.18415;      0.18583
 13.20761;             ;-0.18479;      0.18615
 14.20761;             ;-0.18508;      0.18646
 15.20761;             ;-0.18531;      0.18678
 16.20761;             ;-0.18469;      0.18723
 17.20761;             ;-0.18513;      0.18752
 18.20761;-4.884141e-03;-0.18597;      0.18776
 19.20761;-4.884141e-03;-0.18627;      0.18807
 20.20761;-4.884141e-03;-0.18635;      0.18831
 21.20761;      0.17925;-0.18641;      0.18859
 22.20761;      0.17854;-0.18645;      0.18887
 23.20761;      0.17355;-0.18665;      0.18912
 24.20761;      0.16972;-0.18691;      0.18932
 25.20761;      0.16523;-0.18708;      0.18941
 26.20761;      0.16160;-0.18719;      0.18956
 27.20761;      0.15468;-0.18725;      0.18977
 28.20761;      0.15984;-0.18726;      0.19005
 29.20761;      0.16493;-0.18733;      0.19042
 30.20761;      0.16840;-0.18764;      0.19077
 31.20761;      0.16989;-0.18796;      0.19107
 32.20761;      0.16972;-0.18792;      0.19138
 33.20761;      0.17012;-0.18806;      0.19171
 34.20761;      0.17078;-0.18820;      0.19202
 35.20761;      0.17184;-0.18832;      0.19241
 36.20761;      0.17341;-0.18840;      0.19262
 37.20761;      0.17451;-0.18847;      0.19284
 38.20761;      0.17509;-0.18852;      0.19305
 39.20761;      0.17610;-0.18864;      0.19337
 40.20761;      0.17698;-0.18878;      0.19380
 41.20761;      0.17739;-0.18889;      0.19412
 42.20761;      0.17829;-0.18888;      0.19445
 43.20761;      0.17922;-0.18892;      0.19478
 44.20761;      0.18022;-0.18911;      0.19482
 45.20761;      0.18075;-0.18930;      0.19500
 46.20761;      0.18163;-0.18937;      0.19523
 47.20761;      0.18180;-0.18941;      0.19552
 48.20761;      0.18238;-0.18946;      0.19574
 49.20761;      0.18284;-0.18951;      0.19596
 50.20761;      0.18352;-0.18964;      0.19626
 51.20761;      0.18419;-0.18976;      0.19652
 52.20761;      0.18441;-0.18989;      0.19669
 53.20761;      0.18498;-0.18994;      0.19678
 54.20761;      0.18531;-0.18991;      0.19680
