#EXPORTTYPE:                  DATA COMPARE                 DATA COMPARE                 DATA COMPARE                
#FILE:                        L342.ngb-sdg                 L342.ngb-sdg                 L342.ngb-sdg                
#FORMAT:                      NETZSCH5                     NETZSCH5                     NETZSCH5                    
#FTYPE:                       ANSI                         ANSI                         ANSI                        
#IDENTITY:                    L342                         L342                         L342                        
#DECIMAL:                     POINT                        POINT                        POINT                       
#SEPARATOR:                   SEMICOLON                    SEMICOLON                    SEMICOLON                   
#MTYPE:                       DSC                          DSC                          DSC                         
#INSTRUMENT:                  NETZSCH DSC 214              NETZSCH DSC 214              NETZSCH DSC 214             
#PROJECT:                                                                                                           
#DATE/TIME:                   04.11.2020 19:25             04.11.2020 19:25             04.11.2020 19:25            
#CORR. FILE:                                                                                                        
#TEMPCAL:                     13-10-2020 06:23             13-10-2020 06:23             13-10-2020 06:23            
#SENSITIVITY:                 13-10-2020 06:23             13-10-2020 06:23             13-10-2020 06:23            
#LABORATORY:                  N310                         N310                         N310                        
#OPERATOR:                    Kurzweg                      Kurzweg                      Kurzweg                     
#REMARK:                                                                                                            
#SAMPLE:                      L342                         L342                         L342                        
#SAMPLE MASS /mg:             1.13                         1.13                         1.13                        
#MATERIAL:                                                                                                          
#REFERENCE:                   -----                        -----                        -----                       
#REFERENCE MASS /mg:          0                            0                            0                           
#TYPE OF CRUCIBLE:            Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:    0                            0                            0                           
#REFERENCE CRUCIBLE MASS /mg: 0                            0                            0                           
#PURGE 1 MFC:                 AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min      AIR(80/20),250,3 ml/min     
#PURGE 2 MFC:                 ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#PROTECTIVE MFC:              ARGON,240,3 ml/min           ARGON,240,3 ml/min           ARGON,240,3 ml/min          
#M.RANGE /µV:                 5000                         5000                         5000                        
#TAU-R:                       09-10-2020 09:37             09-10-2020 09:37             09-10-2020 09:37            
#CORR. CODE:                  059                          059                          059                         
#EXO:                         -1                           -1                           -1                          
#RANGE:                       20°C/20.0(K/min)/300°C       300°C/20.0(K/min)/-50°C      -50°C/20.0(K/min)/300°C     
#SEGMENT:                     S1/5                         S3/5                         S5/5                        
#SEG. 5:                                                                                -50°C/20.0(K/min)/300°C     
#SEG. 3:                                                   300°C/20.0(K/min)/-50°C                                  
#SEG. 1:                      20°C/20.0(K/min)/300°C                                                                

##Temp./°C;DSC/(mW/mg);DSC/(mW/mg);DSC/(mW/mg)
-49.45474;       ;             ;0.25250
-48.45474;       ;             ;1.76268
-47.45474;       ;     -0.11797;1.54467
-46.45474;       ;     -0.11797;1.40979
-45.45474;       ;     -0.11797;1.32854
-44.45474;       ;     -0.11797;1.28407
-43.45474;       ;     -0.10624;1.26917
-42.45474;       ;     -0.12568;1.27366
-41.45474;       ;     -0.11493;1.29694
-40.45474;       ;-9.754084e-02;1.23636
-39.45474;       ;-5.007272e-02;1.18784
-38.45474;       ;-4.090669e-02;1.09983
-37.45474;       ;-2.273647e-02;1.17934
-36.45474;       ;-8.187694e-02;1.24954
-35.45474;       ;     -0.30855;1.31102
-34.45474;       ;     -0.66502;1.43668
-33.45474;       ;     -1.02202;1.52484
-32.45474;       ;     -1.09105;1.54375
-31.45474;       ;     -1.08868;1.50697
-30.45474;       ;     -1.07787;1.45850
-29.45474;       ;     -1.07726;1.40745
-28.45474;       ;     -1.07775;1.34633
-27.45474;       ;     -1.07305;1.31789
-26.45474;       ;     -1.07474;1.28448
-25.45474;       ;     -1.07714;1.26143
-24.45474;       ;     -1.08116;1.26143
-23.45474;       ;     -1.08594;1.26122
-22.45474;       ;     -1.08910;1.27039
-21.45474;       ;     -1.09685;1.26254
-20.45474;       ;     -1.09812;1.25922
-19.45474;       ;     -1.09851;1.26858
-18.45474;       ;     -1.10019;1.27097
-17.45474;       ;     -1.10131;1.26862
-16.45474;       ;     -1.10778;1.26495
-15.45474;       ;     -1.11342;1.26151
-14.45474;       ;     -1.11435;1.25513
-13.45474;       ;     -1.11870;1.24795
-12.45474;       ;     -1.12147;1.24385
-11.45474;       ;     -1.12549;1.23773
-10.45474;       ;     -1.13302;1.23371
 -9.45474;       ;     -1.13430;1.23176
 -8.45474;       ;     -1.13722;1.22874
 -7.45474;       ;     -1.13970;1.22704
 -6.45474;       ;     -1.14052;1.22474
 -5.45474;       ;     -1.14265;1.22279
 -4.45474;       ;     -1.14218;1.22066
 -3.45474;       ;     -1.14325;1.21925
 -2.45474;       ;     -1.14452;1.21719
 -1.45474;       ;     -1.14466;1.21597
 -0.45474;       ;     -1.14543;1.21153
  0.54526;       ;     -1.14538;1.20890
  1.54526;       ;     -1.14378;1.20634
  2.54526;       ;     -1.14364;1.20331
  3.54526;       ;     -1.14121;1.20244
  4.54526;       ;     -1.14173;1.20067
  5.54526;       ;     -1.14216;1.19781
  6.54526;       ;     -1.14178;1.19626
  7.54526;       ;     -1.14269;1.19238
  8.54526;       ;     -1.14197;1.18801
  9.54526;       ;     -1.14190;1.18440
 10.54526;       ;     -1.14374;1.17982
 11.54526;       ;     -1.14382;1.17767
