Nummer,Probenbezeichnung,Konzentration_ppm,Matrix,Polymer,Alterung,mProben_mg,dHm_J/g,Tm_C
L001,Mod.S-PE_1_25ppm,25,Modellsand,Polyethylen,,8.34,5.675,130.7
L002,Mod.S-PE_1_25ppm,25,Modellsand,Polyethylen,,8.49,4.522,130.8
L003,Mod.S-PE_1_25ppm,25,Modellsand,Polyethylen,,7.86,5.084,130.7
L004,Mod.S-PE_1_50ppm,50,Modellsand,Polyethylen,,8.59,4.175,130.3
L005,Mod.S-PE_1_50ppm,50,Modellsand,Polyethylen,,8.39,5.796,130.5
L006,Mod.S-PE_1_50ppm,50,Modellsand,Polyethylen,,9.57,5.286,130.5
L007,Mod.S-PE_1_80ppm,80,Modellsand,Polyethylen,,7.68,16.3,130.7
L008,Mod.S-PE_1_80ppm,80,Modellsand,Polyethylen,,7.35,19.49,131.2
L009,Mod.S-PE_1_80ppm,80,Modellsand,Polyethylen,,7.75,19.21,131.0
L010,Mod.S-PE_1_100ppm,100,Modellsand,Polyethylen,,7.41,17.85,130.3
L011,Mod.S-PE_1_100ppm,100,Modellsand,Polyethylen,,7.96,16.75,131.0
L012,Mod.S-PE_1_100ppm,100,Modellsand,Polyethylen,,9.64,18.27,131.2
L013,Mod.S-PE_2_100ppm,100,Modellsand,Polyethylen,,12.28,10.05,130.7
L014,Mod.S-PE_2_100ppm,100,Modellsand,Polyethylen,,9.05,16.36,130.6
L015,Mod.S-PE_2_100ppm,100,Modellsand,Polyethylen,,11.81,17.52,131.0
L016,Mod.S-PE_2_100ppm,100,Modellsand,Polyethylen,,11.32,16.64,130.8
L017,Mod.S-PE_3_60ppm,60,Modellsand,Polyethylen,,7.71,15.63,131.5
L018,Mod.S-PE_3_60ppm,60,Modellsand,Polyethylen,,8.32,16.14,130.9
L019,Mod.S-PE_3_60ppm,60,Modellsand,Polyethylen,,11.54,15.81,130.8
L020,Mod.S-PE_2_40ppm,40,Modellsand,Polyethylen,,11.02,12.0,130.7
L021,Mod.S-PE_2_40ppm,40,Modellsand,Polyethylen,,12.29,12.06,130.8
L022,Mod.S-PE_2_40ppm,40,Modellsand,Polyethylen,,10.86,10.3,130.8
L023,Mod.S-PE_0ppm BW nach Separator,0,Modellsand,Polyethylen,,10.41,0.495,130.4
L024,Mod.S-PE_0ppm BW nach Separator,0,Modellsand,Polyethylen,,10.11,0.2278,130.5
L027,ModS-PE-100ppm-3,100,Modellsand,Polyethylen,,8.3,20.14,131.1
L028,ModS-PE-100ppm-3,100,Modellsand,Polyethylen,,11.44,17.23,130.9
L029,ModS-PE-100ppm-3,100,Modellsand,Polyethylen,,9.31,17.74,131.0
L030,ModS-PE-80ppm-2,80,Modellsand,Polyethylen,,8.95,12.67,130.1
L031,ModS-PE-80ppm-2,80,Modellsand,Polyethylen,,10.94,13.4,130.6
L032,ModS-PE-80ppm-2,80,Modellsand,Polyethylen,,10.64,12.67,130.6
L033,ModS-PE-80ppm-3,80,Modellsand,Polyethylen,,8.98,15.27,130.6
L034,ModS-PE-80ppm-3,80,Modellsand,Polyethylen,,9.8,17.41,130.8
L035,ModS-PE-80ppm-3,80,Modellsand,Polyethylen,,9.06,14.73,130.6
L036,ModS-PE-60ppm-1,60,Modellsand,Polyethylen,,9.02,16.5,130.9
L037,ModS-PE-60ppm-1,60,Modellsand,Polyethylen,,9.8,16.99,130.9
L038,ModS-PE-60ppm-1,60,Modellsand,Polyethylen,,11.48,14.85,130.7
L039,ModS-PE-60ppm-2,60,Modellsand,Polyethylen,,10.99,8.096,130.8
L040,ModS-PE-60ppm-2,60,Modellsand,Polyethylen,,11.72,8.224,130.6
L041,ModS-PE-60ppm-2,60,Modellsand,Polyethylen,,10.19,7.82,130.4
L042,ModS-PE-40ppm-1,40,Modellsand,Polyethylen,,12.0,5.39,130.7
L043,ModS-PE-40ppm-1,40,Modellsand,Polyethylen,,11.09,5.115,130.8
L044,ModS-PE-40ppm-1,40,Modellsand,Polyethylen,,10.89,4.921,130.7
L045,ModS-PE-40ppm-3,40,Modellsand,Polyethylen,,9.78,11.65,131.0
L046,ModS-PE-40ppm-3,40,Modellsand,Polyethylen,,9.15,11.36,130.5
L047,ModS-PE-40ppm-3,40,Modellsand,Polyethylen,,8.69,11.02,13.6
L048,ModS-PE-40ppm-3,40,Modellsand,Polyethylen,,8.82,11.81,130.8
L049,ModS-PE-20ppm-1,20,Modellsand,Polyethylen,,13.1,3.999,130.5
L050,ModS-PE-20ppm-1,20,Modellsand,Polyethylen,,11.82,4.792,130.7
L051,ModS-PE-20ppm-1,20,Modellsand,Polyethylen,,11.7,4.972,131.0
L052,ModS-PE-20ppm-2,20,Modellsand,Polyethylen,,10.57,3.966,130.8
L053,ModS-PE-20ppm-2,20,Modellsand,Polyethylen,,12.14,4.237,130.7
L054,ModS-PE-20ppm-2,20,Modellsand,Polyethylen,,10.38,3.798,130.7
L055,ModS-PE-10ppm-1,10,Modellsand,Polyethylen,,16.98,1.825,130.7
L056,ModS-PE-10ppm-1,10,Modellsand,Polyethylen,,15.25,1.115,130.7
L057,ModS-PE-10ppm-1,10,Modellsand,Polyethylen,,16.16,1.599,130.8
L058,ModS-PE-10ppm-2,10,Modellsand,Polyethylen,,13.74,1.742,130.8
L059,ModS-PE-10ppm-2,10,Modellsand,Polyethylen,,16.07,1.566,130.5
L060,ModS-PE-10ppm-2,10,Modellsand,Polyethylen,,13.76,1.674,130.6
L061,ModS-PE-5ppm-1,5,Modellsand,Polyethylen,,15.15,0.3462,130.5
L062,ModS-PE-5ppm-1,5,Modellsand,Polyethylen,,14.44,0.4414,129.8
L063,ModS-PE-5ppm-1,5,Modellsand,Polyethylen,,15.66,0.4474,131.0
L064,ModS-PE-1ppm-1,1,Modellsand,Polyethylen,,17.06,0.05025,130.8
L065,ModS-PE-1ppm-1,1,Modellsand,Polyethylen,,16.91,-0.02086,130.9
L066,ModS-PE-1ppm-1,1,Modellsand,Polyethylen,,19.18,-0.04827,131.2
L067,ModS-PE-20ppm-3,20,Modellsand,Polyethylen,,18.1,3.054,130.8
L068,ModS-PE-20ppm-3,20,Modellsand,Polyethylen,,18.53,2.6,130.9
L069,ModS-PE-20ppm-3,20,Modellsand,Polyethylen,,17.17,2.833,131.1
L070,ModS-PE-10ppm-3,10,Modellsand,Polyethylen,,17.41,1.228,130.8
L071,ModS-PE-10ppm-3,10,Modellsand,Polyethylen,,16.56,1.496,131.0
L072,ModS-PE-10ppm-3,10,Modellsand,Polyethylen,,15.17,1.579,130.7
L073,ModS-PE-5ppm-2,5,Modellsand,Polyethylen,,14.4,1.041,130.8
L074,ModS-PE-5ppm-2,5,Modellsand,Polyethylen,,15.51,1.084,131.0
L075,ModS-PE-5ppm-2,5,Modellsand,Polyethylen,,18.89,0.6007,130.8
L076,ModS-PE-5ppm-3,5,Modellsand,Polyethylen,,15.86,1.178,130.9
L077,ModS-PE-5ppm-3,5,Modellsand,Polyethylen,,15.49,0.9231,130.9
L078,ModS-PE-5ppm-3,5,Modellsand,Polyethylen,,15.1,1.06,130.8
L079,ModS-PE-1ppm-2,1,Modellsand,Polyethylen,,17.97,0.3686,130.5
L080,ModS-PE-1ppm-2,1,Modellsand,Polyethylen,,13.76,0.2813,130.7
L081,ModS-PE-1ppm-2,1,Modellsand,Polyethylen,,18.94,0.1423,131.1
L082,ModS-PE-1ppm-3,1,Modellsand,Polyethylen,,17.23,0.1225,131.3
L083,ModS-PE-1ppm-3,1,Modellsand,Polyethylen,,16.79,0.1487,130.7
L084,ModS-PE-1ppm-3,1,Modellsand,Polyethylen,,16.72,0.1298,131.3
L121,ZF Sand-PE-0ppm-1,0,Sand,Polyethylen,,10.49,-0.4191,112.9
L122,ZF Sand-PE-0ppm-1,0,Sand,Polyethylen,,9.32,-0.5753,116.8
L123,ZF Sand-PE-0ppm-1,0,Sand,Polyethylen,,10.27,-0.4556,108.7
L124,ZF Sand-PE-60ppm-1,60,Sand,Polyethylen,,14.51,1.902,130.7
L125,ZF Sand-PE-60ppm-1,60,Sand,Polyethylen,,10.02,1.062,130.7
L126,ZF Sand-PE-60ppm-1,60,Sand,Polyethylen,,10.49,1.124,130.9
L127,ZF Sand-PE-60ppm-2,60,Sand,Polyethylen,,11.44,1.344,130.4
L128,ZF Sand-PE-60ppm-2,60,Sand,Polyethylen,,11.01,1.095,130.9
L129,ZF Sand-PE-60ppm-2,60,Sand,Polyethylen,,9.64,1.091,130.4
L130,ZF Sand-PE-40ppm-1,40,Sand,Polyethylen,,11.82,0.6584,130.9
L131,ZF Sand-PE-40ppm-1,40,Sand,Polyethylen,,9.37,0.6296,130.5
L132,ZF Sand-PE-40ppm-1,40,Sand,Polyethylen,,10.85,0.3504,130.6
L133,ZF Sand-PE-40ppm-2,40,Sand,Polyethylen,,10.06,0.8895,130.9
L134,ZF Sand-PE-40ppm-2,40,Sand,Polyethylen,,9.04,0.5927,130.8
L135,ZF Sand-PE-40ppm-2,40,Sand,Polyethylen,,9.64,0.7472,130.6
L136,ZF Sand-PE-40ppm-3,40,Sand,Polyethylen,,11.6,0.9689,131.0
L137,ZF Sand-PE-40ppm-3,40,Sand,Polyethylen,,11.88,0.8679,130.6
L138,ZF Sand-PE-40ppm-3,40,Sand,Polyethylen,,10.0,0.5867,130.6
L139,ZF Sand-PE-20ppm-1,20,Sand,Polyethylen,,11.02,0.2379,130.5
L140,ZF Sand-PE-20ppm-1,20,Sand,Polyethylen,,10.04,0.3428,130.7
L141,ZF Sand-PE-20ppm-1,20,Sand,Polyethylen,,10.23,0.2842,130.5
L142,ZF Sand-PE-20ppm-2,20,Sand,Polyethylen,,10.44,0.1364,130.6
L143,ZF Sand-PE-20ppm-2,20,Sand,Polyethylen,,9.97,0.03483,131.2
L144,ZF Sand-PE-20ppm-2,20,Sand,Polyethylen,,10.39,0.2346,130.7
L145,ZF Sand-PE-20ppm-3,20,Sand,Polyethylen,,11.25,0.2582,131.2
