Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)"
L001_S5,-0.40977501767246444,-0.40044891801039134,-0.3896406786218411,-0.38021790931827854,-0.3699504445136741,-0.36146626944047466,-0.35098383846213393,-0.3267571108340247,-0.3402007618120544,-0.3282469670031293,-0.31488312372643046,-0.3037201661545548,-0.2917825778647283,-0.27924355652617994,-0.2669457594233278
L002_S5,-0.4301050449128268,-0.42095733977231037,-0.4114485327802333,-0.4017761006417103,-0.39177538378795373,-0.3831216723302928,-0.372093385768303,-0.34695940749636844,-0.3589267672549673,-0.347063138645081,-0.33382105749685625,-0.3237068146755432,-0.3134623652898684,-0.30259000546891623,-0.29138085851644635
L003_S5,-0.4234929806318258,-0.4147134594588318,-0.40559183637530866,-0.3955563419505993,-0.38634595004546035,-0.37894796377046214,-0.36821524154985225,-0.3402012623176246,-0.35640257472968456,-0.34409229192068624,-0.32952343365287096,-0.31781069414800056,-0.30547352274853146,-0.29227040216211037,-0.2790371701786739
L004_S5,-0.4189605419496429,-0.41436871094123057,-0.406470430033373,-0.3974277277665625,-0.3897309048507151,-0.38309062281477335,-0.3729842085132516,-0.3487082877633235,-0.3587728930024533,-0.34611492721779596,-0.3309107986930081,-0.31790306775562277,-0.30472369551427847,-0.2929591866468581,-0.2804538058338373
L005_S5,-0.3875913221869414,-0.3829801356980919,-0.37381439712434195,-0.36241201983231747,-0.351412541152527,-0.3417653518433572,-0.3309021053340789,-0.313029765527933,-0.3170083106459029,-0.305930827243059,-0.2929170452210003,-0.28268740626519556,-0.2713447403099865,-0.2607847405331603,-0.2499438924112273
L006_S5,-0.42373529688891526,-0.4168121274903832,-0.40732850830652834,-0.3960683739030226,-0.3849852150963155,-0.3742161810237944,-0.36084722165004385,-0.333684392426546,-0.34433326766813493,-0.3310729930402508,-0.31685991842234823,-0.3055944819194699,-0.2938605152416385,-0.2828889446104686,-0.27234658956071567
L007_S5,-0.3578354992752404,-0.34934932341209324,-0.33496093402624344,-0.3200164672775287,-0.30556455230150287,-0.29037350110351645,-0.26840449431952546,-0.20560035956431982,-0.2658230227232035,-0.2539248284837753,-0.23822920039608309,-0.22653056897501728,-0.21431673091730402,-0.20154243261487162,-0.18878225272381488
L008_S5,-0.4833430512699815,-0.47284336334975197,-0.45895859633672265,-0.44492973772842875,-0.4309530701773511,-0.4159263025691494,-0.38622620914674394,-0.2649180108930186,-0.4051414257334249,-0.39896153320655836,-0.38819373789358047,-0.380093401707756,-0.3708272535848963,-0.3606668535471186,-0.3508526862316302
L009_S5,-0.4013348459329155,-0.395454179540529,-0.38390172268682954,-0.3733492302678358,-0.36185187683247344,-0.3489394241133871,-0.3244642648340511,-0.225246017078151,-0.34010581812433305,-0.33133512657475633,-0.31944458751157473,-0.30963523511443014,-0.29877165076039464,-0.28759183735070004,-0.27626137038860404
L010_S5,-0.4306510233148763,-0.42333948801727395,-0.4122611204172858,-0.4006974546505649,-0.38966084219514496,-0.37803853980274654,-0.3551480752868638,-0.2507622191670122,-0.3686102049224834,-0.35863908497749897,-0.34602265234407326,-0.33524167285810846,-0.3234383276238426,-0.31125150837700816,-0.299173101003225
L011_S5,-0.4358163470735924,-0.42453924943661836,-0.41214605586714337,-0.3989872159465318,-0.3851793646237989,-0.3706716336994903,-0.3456653920485794,-0.2547966344316687,-0.35556608810165635,-0.34625327547211826,-0.3342412767344469,-0.32584088186701987,-0.3170104608258625,-0.3076190445049057,-0.2983804418537078
L012_S5,-0.4554981527654539,-0.44942698326960484,-0.4408506472480269,-0.4316333682295457,-0.42216653786615493,-0.4104983570008341,-0.38587124239450865,-0.2747089133239906,-0.4061522486156312,-0.40452297121949105,-0.3958683525953791,-0.38829412531777013,-0.3798220755212559,-0.37058960751503006,-0.3615102945140738
L013_S5,-0.4468534947330025,-0.4406857337211952,-0.43651119735312005,-0.4315701223200247,-0.425884923381653,-0.41874036918623175,-0.4044453128989973,-0.3368848238180809,-0.4168260471636895,-0.41290719905307,-0.4075470792309374,-0.40491900613572207,-0.4019807898651684,-0.39763846312522966,-0.3925075962837975
L014_S5,-0.4202293793971026,-0.4157787963898808,-0.4084523946102452,-0.39959021804278666,-0.3908578162384994,-0.38039258333463216,-0.36000029671240796,-0.2678250125407667,-0.38206929113705834,-0.37600947690907677,-0.3691732037768343,-0.36609445780391864,-0.3647471327506277,-0.36305935329711986,-0.3557683671720443
L015_S5,-0.41084959314166686,-0.4067595533418669,-0.3998885593705739,-0.3919565234018367,-0.38417485185116723,-0.37372102296050985,-0.3528434404029484,-0.2586585013087828,-0.3737322531790396,-0.37311953559656647,-0.3680416592267572,-0.3656768027745841,-0.36280580985946137,-0.35939115777956143,-0.35642219901288896
L016_S5,-0.4124057338306546,-0.4079904061394566,-0.40154138581564325,-0.3935679945211384,-0.38590531503091097,-0.37612981169081144,-0.35602149028063673,-0.2647552110019475,-0.3775447333290937,-0.3737959048399199,-0.3676086088674081,-0.3641925089085182,-0.3606587890210103,-0.3556720256610338,-0.3516177291960888
L017_S5,-0.5244202577882271,-0.5147097330615251,-0.5064740117327535,-0.4978033180879671,-0.49114702085264067,-0.4830545380297767,-0.4631283558298288,-0.3416883954543247,-0.4927032417344854,-0.496006765707761,-0.492152288326001,-0.49100252374144693,-0.4901716501621508,-0.4875103936770753,-0.48507854136667133
L018_S5,-0.4063519171292773,-0.40105702879077554,-0.3936456385454036,-0.38621154222329407,-0.3798174611517346,-0.3715769722046376,-0.3534125981805197,-0.26496724080019873,-0.3743027337854346,-0.3689480525598075,-0.361946876391473,-0.35924933662371045,-0.35714407088778316,-0.35416901580855437,-0.3501212305192697
