Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L001_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L002_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L003_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L004_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L005_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L006_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L007_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L008_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L009_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L010_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L011_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L012_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L013_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L014_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L015_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L016_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L017_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L018_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L019_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L020_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L021_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L022_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L023_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L024_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L025 BW_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L026-BW_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L027_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L028_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L029_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L030_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L031_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L032_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L033_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L034_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L035_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L036_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L037_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L038_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L039_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L040_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L041_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L042_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L043_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L044_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L045_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L046_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L047_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L048_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L049_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L050_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L051_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L052_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L053_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L054_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L055_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
